,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,ENT
252,5,3,1,1,1,1,1,3,1,1,1
253,1,3,1,1,1,1,1,5,1,1,1
254,2,2,1,1,1,1,1,3,1,1,1
255,3,3,1,1,1,1,2,1,1,1,1
256,4,3,1,1,1,1,2,3,1,1,1
257,5,3,1,1,1,1,1,6,1,1,1
258,1,3,1,1,1,1,1,8,1,1,1
259,2,3,1,1,1,1,1,5,1,1,1
260,3,3,1,1,1,1,1,2,1,1,1
261,4,3,1,1,1,1,1,1,1,1,1
262,5,3,1,1,1,1,1,7,1,1,1
263,1,3,1,1,1,1,1,3,1,1,1
264,2,3,1,1,1,1,1,3,1,1,1
265,3,3,1,1,1,1,1,1,1,1,1
266,4,3,1,1,1,1,1,3,1,1,1
267,5,2,1,1,1,1,1,5,1,1,1
268,1,3,1,1,1,1,1,4,1,1,1
269,2,3,1,1,1,1,1,5,1,1,1
270,3,3,1,1,1,1,1,4,1,1,1
271,4,3,1,1,1,1,1,2,1,1,1
272,5,3,1,1,1,1,1,5,1,1,1
273,1,2,1,1,1,1,1,7,2,2,1
274,3,3,1,1,1,1,1,4,1,1,1
275,4,3,1,1,1,1,1,3,1,1,1
276,5,3,1,1,1,1,1,6,1,1,1
277,1,3,1,1,1,1,1,2,1,1,1
278,2,2,1,1,1,1,1,5,2,2,1
279,3,3,1,1,1,1,1,5,1,1,1
280,4,3,1,1,1,1,1,4,1,1,1
281,5,3,1,1,1,1,1,5,1,1,1
282,2,3,1,1,1,1,1,5,1,1,1
283,3,2,1,1,1,1,1,5,1,1,1
284,4,2,1,1,1,2,2,4,1,1,1
285,5,3,1,1,1,1,1,2,1,1,1
286,1,3,1,1,1,1,1,4,1,1,1
287,2,3,1,1,1,1,1,4,1,1,1
288,3,3,1,1,1,1,1,3,1,1,1
289,4,3,1,1,1,1,1,3,1,1,1
290,5,3,1,1,1,1,1,6,1,1,1
291,1,2,1,1,1,1,1,4,1,1,1
292,2,3,1,1,1,1,2,5,1,1,1
293,3,2,1,1,1,1,1,9,1,1,1
294,4,3,1,1,1,1,1,6,1,1,1
295,1,3,1,1,1,1,1,1,1,1,1
296,2,3,1,1,1,1,1,4,1,1,1
297,3,3,1,1,1,1,1,2,1,1,1
298,4,2,1,1,1,1,1,3,1,1,1
299,5,3,1,1,1,1,1,4,1,1,1
300,1,2,1,1,1,1,2,4,1,1,1
301,2,3,1,1,1,1,1,3,1,1,1
302,3,2,1,1,1,1,2,2,1,1,1
303,4,3,1,1,1,1,1,4,1,1,1
304,5,3,1,1,1,1,1,3,1,1,1
305,2,3,1,1,1,1,1,6,1,1,1
306,3,3,1,1,1,1,1,3,1,1,1
307,4,3,1,1,1,1,1,4,1,1,1
308,5,3,1,1,1,1,1,4,1,1,1
309,2,2,1,1,1,1,2,5,1,1,1
310,3,3,1,1,1,1,1,4,1,1,1
311,5,3,1,1,1,1,1,3,1,1,1
312,1,3,1,1,1,1,1,3,1,1,1
313,2,3,1,1,1,1,1,4,1,1,1
314,5,3,1,1,1,1,1,5,1,1,1
315,1,3,1,1,1,1,1,8,1,1,1
316,2,3,1,1,1,1,1,4,1,1,1
317,3,2,1,1,1,2,1,6,1,1,1
318,4,3,1,1,1,1,1,6,1,1,1
319,5,3,1,1,1,1,1,1,1,1,1
320,1,2,1,1,1,1,1,2,1,1,1
321,2,3,1,1,1,1,1,4,1,1,1
322,3,2,1,1,1,1,1,4,1,1,1
323,4,3,1,1,1,1,2,5,1,1,1
324,5,2,1,1,1,1,1,7,1,1,1
325,1,2,1,1,1,1,2,3,1,1,1
326,2,3,1,1,1,2,1,4,1,1,1
327,3,3,1,1,1,1,1,5,1,1,1
328,4,2,1,1,1,2,2,1,1,1,1
329,5,3,1,1,1,1,1,6,1,1,1
330,1,3,1,1,1,1,1,7,1,1,1
331,2,3,1,1,1,1,1,5,1,1,1
332,3,2,1,1,1,1,1,3,1,1,1
333,4,3,1,1,1,1,1,5,1,1,1
334,5,3,1,1,1,1,1,1,1,1,1
335,1,2,1,1,1,1,1,4,1,1,1
336,2,2,1,1,1,1,1,3,1,1,1
337,3,3,1,1,1,1,1,5,1,1,1
338,4,2,1,1,1,1,1,3,1,1,1
339,1,3,1,1,1,1,1,5,1,1,1
340,2,3,1,1,1,1,1,5,1,1,1
341,4,3,1,1,1,1,1,3,1,1,1
342,5,3,1,1,1,1,1,4,1,1,1
343,2,2,1,1,1,1,1,2,1,1,1
344,5,3,1,1,1,1,1,3,1,1,1
345,1,3,1,1,1,2,1,3,1,1,1
346,2,2,1,1,1,1,1,8,1,1,1
347,3,1,1,1,1,1,2,6,1,1,1
348,5,3,1,1,1,1,1,5,1,1,1
349,2,3,1,1,1,1,2,2,1,1,1
350,3,3,1,1,1,1,1,4,1,1,1
351,4,2,1,1,1,1,1,3,2,3,1
352,5,3,1,1,1,1,1,3,1,1,1
353,1,2,1,1,1,1,1,3,1,1,1
354,2,3,1,1,1,1,1,3,1,1,1
355,3,3,1,1,1,1,1,3,1,1,1
356,4,2,1,1,1,1,1,3,1,1,1
357,5,3,1,1,1,1,1,5,1,1,1
358,1,3,1,1,1,1,2,9,2,2,1
359,2,3,1,1,1,1,1,3,1,1,1
360,4,3,1,1,1,1,2,3,1,1,1
361,5,3,1,1,1,1,1,3,1,1,1
362,2,3,1,1,1,1,1,3,1,1,1
363,4,3,1,1,1,1,1,5,1,1,1
364,5,2,1,1,1,1,1,5,1,1,1
365,1,3,1,1,1,1,1,3,2,2,1
366,2,3,1,1,1,1,1,4,1,1,1
367,3,3,1,1,1,1,1,4,1,1,1
368,5,3,1,1,1,1,1,3,1,1,1
369,1,3,1,1,1,1,1,2,1,1,1
370,2,3,1,1,1,1,1,2,1,1,1
371,3,3,1,1,1,1,1,4,1,1,1
372,4,3,1,1,1,1,1,6,2,2,1
373,5,3,1,1,1,1,1,3,1,1,1
374,1,3,1,1,1,1,1,6,1,1,1
375,2,3,1,1,1,1,1,3,1,1,1
376,3,3,1,1,1,1,1,4,1,1,1
